kecamatan,kelurahan,lokasi,kategori,latitude,longitude,status_akurasi
REGOL,ANCOL,JL. PASIRLUYU BARAT,TAMAN,-6.940178666382,107.616027530578,Akurat (ArcGIS)
REGOL,ANCOL,JL. PASIRLUYU TIMUR,TAMAN,-6.94161789898,107.616136750338,Akurat (ArcGIS)
REGOL,ANCOL,JL. BKR,TAMAN,-6.938022889242,107.616016752128,Akurat (ArcGIS)
REGOL,BALONGGEDE,TAMAN ALUN-ALUN BANDUNG,TAMAN,-6.921919,107.6061149,Akurat (ArcGIS)
REGOL,BALONGGEDE,PENDOPO,TAMAN,-6.926621,107.609535,Akurat (ArcGIS)
REGOL,CISEUREUH,PEMAKAMAN CIBURUY RW 06,PEMAKAMAN,-6.956255250723,107.613034365252,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. BKR,TAMAN,-6.937736356,107.610118911366,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. KEMBAR I,TAMAN,-6.943758816613,107.611424611133,Akurat (ArcGIS)
REGOL,CIGERELENG,GG. SRIWIJAYA,SAWAH,-6.941744930776,107.612818080072,Akurat (ArcGIS)
REGOL,CIGERELENG,JL. KEMBAR TENGAH II,TAMAN,-6.942470122655,107.610048272073,Akurat (ArcGIS)
REGOL,CIATEUL,TAMAN TEGALEGA,TAMAN,-6.937278,107.6046016,Akurat (ArcGIS)
REGOL,CIATEUL,TAMAN TERAPI,TAMAN,-6.934445,107.609038,Akurat (ArcGIS)
REGOL,PASIRLUYU,RW 01,TAMAN,-6.943199996344,107.619172403412,Akurat (ArcGIS)
REGOL,PASIRLUYU,RW 06,TAMAN,-6.945171,107.620188,Akurat (ArcGIS)
REGOL,PASIRLUYU,RW 09,TAMAN,-6.945171,107.620188,Akurat (ArcGIS)
REGOL,PUNGKUR,GG. MUNCANG RW 01,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. DEWISARTIKA RW 02,TAMAN,-6.929537397961,107.605602709662,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. DEWISARTIKA RW 02 DEPAN SMPN 10,TAMAN,-6.929537397961,107.605602709662,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. DEWISARTIKA RW 02 DEPAN SMPN 03,TAMAN,-6.929537397961,107.605602709662,Akurat (ArcGIS)
REGOL,PUNGKUR,POS RW 03,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,BLUMBAK PASUNDAN RW 03,TAMAN,-6.929841563538,107.608500025212,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. NATAWIJAYA RW 03,TAMAN,-6.924083429831,107.596150154482,Akurat (ArcGIS)
REGOL,PUNGKUR,BLUMBAK NURKIMAN RW 04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,NURKIMAN RW  04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,NURKIMAN RW  04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,ASMITA RW  04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,ASMITA RW  04,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
REGOL,PUNGKUR,JL. PASUNDAN RW  04,TAMAN,-6.929841563538,107.608500025212,Akurat (ArcGIS)
REGOL,PUNGKUR,ASMI,TAMAN,-6.929336628118,107.608601499504,Akurat (ArcGIS)
REGOL,PUNGKUR,TAMAN SEGITIGA,TAMAN,-6.929827,107.607897,Akurat (ArcGIS)
